ticker,cap_group,end_date,year,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,CostOfRevenue,CostOfGoodsAndServicesSold,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,OperatingExpenses,OperatingIncomeLoss,InterestExpense,InterestAndDebtExpense,NonoperatingIncomeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,DepreciationAndAmortization,DepreciationDepletionAndAmortization,AmortizationOfIntangibleAssets,ShareBasedCompensation,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,ShortTermInvestments,AvailableForSaleSecuritiesCurrent,AccountsReceivableNetCurrent,InventoryNet,PrepaidExpenseAndOtherAssetsCurrent,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill,LongTermInvestments,OtherAssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,DeferredRevenueCurrent,ShortTermBorrowings,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoncurrent,DeferredTaxLiabilitiesNoncurrent,OtherLiabilitiesNoncurrent,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,CommonStocksIncludingAdditionalPaidInCapital,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLossNetOfTax,TreasuryStockValue,CommonStockSharesOutstanding,CommonStockSharesIssued,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,ProceedsFromSaleAndMaturityOfMarketableSecurities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,ProceedsFromIssuanceOfLongTermDebt,RepaymentsOfLongTermDebt,ProceedsFromRepaymentsOfShortTermDebt,CashAndCashEquivalentsPeriodIncreaseDecrease,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,revenue,net_income,operating_income,total_assets,total_liab,equity,cash,long_term_debt,cfo,capex,rd_expense,gross_margin,operating_margin,net_margin,rd_intensity,roa,roe,debt_to_equity,debt_to_assets,net_debt,net_debt_to_ebitda,asset_turnover,equity_multiplier,fcf,fcf_margin,cfo_to_net_income,price_open,price_close,price_high,price_low,price_avg,volume_total,volume_avg,trading_days,annual_return,longName,sector,industry,fullTimeEmployees,beta
AAPL,large_cap,2010-09-25,2010,,,65225000000.0,,39541000000.0,25684000000.0,1782000000.0,5517000000.0,7299000000.0,18385000000.0,,,155000000.0,,4527000000.0,14013000000.0,,15.41,15.15,909461000.0,924712000.0,815000000.0,,69000000.0,879000000.0,75183000000.0,41678000000.0,,11261000000.0,,,14359000000.0,5510000000.0,1051000000.0,,,741000000.0,342000000.0,,2263000000.0,27392000000.0,20722000000.0,,12015000000.0,5723000000.0,2984000000.0,,,,,4300000000.0,5531000000.0,47791000000.0,,,,37169000000.0,-46000000.0,,915970000.0,915970000.0,18595000000.0,,-13854000000.0,,1257000000.0,,,638000000.0,,,,,,,,5998000000.0,,65225000000.0,14013000000.0,18385000000.0,75183000000.0,27392000000.0,47791000000.0,11261000000.0,,18595000000.0,,1782000000.0,0.39377539287083174,0.2818704484476811,0.21484093522422384,0.027320812571866616,0.18638522006304617,0.2932142035111213,,0.36433768272082784,,,0.8675498450447574,1.573162310895357,,,1.326982088061086,6.395003586660348,9.664864540100098,9.787714572433865,5.7004604404886186,7.785661349220882,151024927200.0,599305266.6666666,252,0.5113149522324762,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2011-09-24,2011,,,108249000000.0,,64431000000.0,43818000000.0,2429000000.0,7599000000.0,10028000000.0,33790000000.0,0.0,,415000000.0,34205000000.0,8283000000.0,25922000000.0,,28.05,27.68,924258000.0,936645000.0,1600000000.0,,192000000.0,1168000000.0,116371000000.0,44988000000.0,,9815000000.0,,,16137000000.0,5369000000.0,776000000.0,,7777000000.0,896000000.0,3536000000.0,,3556000000.0,39756000000.0,27970000000.0,,14632000000.0,9247000000.0,4091000000.0,,,,,8159000000.0,10100000000.0,76615000000.0,,,,62841000000.0,443000000.0,,929277000.0,929277000.0,37529000000.0,,-40419000000.0,,1444000000.0,,,244000000.0,,,0.0,,0.0,,,-1446000000.0,,108249000000.0,25922000000.0,33790000000.0,116371000000.0,39756000000.0,76615000000.0,9815000000.0,,37529000000.0,,2429000000.0,0.40478895878945764,0.31215068961376086,0.2394664153941376,0.022439006364954873,0.22275309140593447,0.3383410559289956,,0.34163150613125265,,,0.9302059791528817,1.518906219408732,,,1.4477663760512307,9.757153932056454,12.135018348693848,12.785216612223188,9.303518008329084,10.90666391357543,124059339600.0,492298966.6666667,252,0.24370471483749823,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2012-09-29,2012,,,156508000000.0,,87846000000.0,68662000000.0,3381000000.0,10040000000.0,13421000000.0,55241000000.0,0.0,,522000000.0,55763000000.0,14030000000.0,41733000000.0,,6.38,6.31,6543726000.0,6617483000.0,2600000000.0,,605000000.0,1740000000.0,176064000000.0,57653000000.0,,10746000000.0,,,18383000000.0,10930000000.0,791000000.0,,15452000000.0,1135000000.0,4224000000.0,,5478000000.0,57854000000.0,38542000000.0,,21175000000.0,11414000000.0,5953000000.0,,0.0,,,13847000000.0,16664000000.0,118210000000.0,,,,101289000000.0,499000000.0,,939208000.0,939208000.0,50856000000.0,50856000000.0,-48227000000.0,-48227000000.0,-1698000000.0,-1698000000.0,,350000000.0,,,0.0,,0.0,,,931000000.0,,156508000000.0,41733000000.0,55241000000.0,176064000000.0,57854000000.0,118210000000.0,10746000000.0,0.0,50856000000.0,,3381000000.0,0.4387123980882766,0.35295959311984054,0.26665090602397323,0.02160272957292918,0.23703312431842966,0.35304119786820065,0.0,0.32859641948382406,-10746000000.0,-0.1857851696893207,0.88892675390767,1.489417138989933,,,1.2186039824599237,12.266855189830054,16.087013244628906,21.216721771720497,12.254869713304085,17.30206266784668,131964204400.0,527856817.6,250,0.31142114223097606,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2013-09-28,2013,,,170910000000.0,,106606000000.0,64304000000.0,4475000000.0,10830000000.0,15305000000.0,48999000000.0,136000000.0,,1156000000.0,50155000000.0,13118000000.0,37037000000.0,,5.72,5.68,6477320000.0,6521634000.0,5800000000.0,,960000000.0,2253000000.0,207000000000.0,73286000000.0,,14259000000.0,,,26287000000.0,13102000000.0,1764000000.0,,16597000000.0,1577000000.0,4179000000.0,,5146000000.0,83451000000.0,43658000000.0,,22367000000.0,13856000000.0,7435000000.0,,16960000000.0,,,16489000000.0,20208000000.0,123549000000.0,,19764000000.0,,104256000000.0,-471000000.0,,6294494000.0,6294494000.0,53666000000.0,53666000000.0,-33774000000.0,-33774000000.0,-16379000000.0,-16379000000.0,8165000000.0,496000000.0,,,22860000000.0,10528000000.0,16896000000.0,,,3513000000.0,,170910000000.0,37037000000.0,48999000000.0,207000000000.0,83451000000.0,123549000000.0,14259000000.0,16960000000.0,53666000000.0,8165000000.0,4475000000.0,0.3762448072084723,0.2866947516236616,0.21670469837926393,0.02618337136504593,0.17892270531400967,0.29977579745687943,0.1372734704449247,0.4031449275362319,2701000000.0,0.04928922060621544,0.8256521739130435,1.6754486074351067,45501000000.0,0.2662278392136212,1.448983448983449,16.741479468863204,17.385164260864258,17.822718790081606,11.70906969027081,14.481553686989677,102421569600.0,406434800.0,252,0.03844850111354958,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2014-09-27,2014,,,182795000000.0,,112258000000.0,70537000000.0,6041000000.0,11993000000.0,18034000000.0,52503000000.0,384000000.0,,980000000.0,53483000000.0,13973000000.0,39510000000.0,,6.49,6.45,6085572000.0,6122663000.0,6900000000.0,,1100000000.0,2863000000.0,231839000000.0,68531000000.0,,13844000000.0,,,11233000000.0,17460000000.0,2111000000.0,,20624000000.0,4616000000.0,4142000000.0,,3764000000.0,120292000000.0,63448000000.0,,30196000000.0,18453000000.0,8491000000.0,,28987000000.0,0.0,28987000000.0,20259000000.0,24826000000.0,111547000000.0,,23313000000.0,,87152000000.0,1082000000.0,,5866161000.0,5866161000.0,,59713000000.0,,-22579000000.0,,-37549000000.0,9571000000.0,3765000000.0,,,45000000000.0,11031000000.0,11960000000.0,0.0,6306000000.0,-415000000.0,,182795000000.0,39510000000.0,52503000000.0,231839000000.0,120292000000.0,111547000000.0,13844000000.0,28987000000.0,,9571000000.0,6041000000.0,0.3858803577778386,0.28722339232473537,0.21614376760852322,0.03304794988922016,0.17041998973425523,0.3542004715501089,0.25986355527266536,0.5188600709975457,15143000000.0,0.25491978519603387,0.7884566444817308,2.0783974468161404,,,,17.21968436386492,24.44744300842285,26.522757824070702,15.294367992485544,20.26739236286708,63657952400.0,252610922.2222222,252,0.4197381608065478,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2015-09-26,2015,,,233715000000.0,,140089000000.0,93626000000.0,8067000000.0,14329000000.0,22396000000.0,71230000000.0,733000000.0,,1285000000.0,72515000000.0,19121000000.0,53394000000.0,,9.28,9.22,5753421000.0,5793069000.0,9200000000.0,9200000000.0,1300000000.0,3586000000.0,290345000000.0,89378000000.0,,21120000000.0,,,20481000000.0,16849000000.0,2349000000.0,,22471000000.0,5116000000.0,3893000000.0,,5422000000.0,170990000000.0,80610000000.0,,35490000000.0,25181000000.0,8940000000.0,,,2500000000.0,53329000000.0,24062000000.0,33427000000.0,119355000000.0,,27416000000.0,,92284000000.0,-345000000.0,,5578753000.0,5578753000.0,81266000000.0,81266000000.0,-56274000000.0,-56274000000.0,-17716000000.0,-17716000000.0,11247000000.0,343000000.0,,,35253000000.0,11431000000.0,27114000000.0,0.0,,7276000000.0,,233715000000.0,53394000000.0,71230000000.0,290345000000.0,170990000000.0,119355000000.0,21120000000.0,,81266000000.0,11247000000.0,8067000000.0,0.4005990201741437,0.3047729071732666,0.22845773698735639,0.034516398177267184,0.18389846561848835,0.44735453060198566,,0.5889200778384336,,,0.804956172828876,2.432616982950023,70019000000.0,0.29959138266692337,1.5220062179271079,24.67115267325441,23.710681915283203,29.916117823343757,20.63541912283421,26.819586958203995,52264199600.0,207397617.46031746,252,-0.03893092352399241,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2016-09-24,2016,215639000000.0,,215639000000.0,,131376000000.0,84263000000.0,10045000000.0,14194000000.0,24239000000.0,60024000000.0,1456000000.0,,1348000000.0,61372000000.0,15685000000.0,45687000000.0,,8.35,8.31,5470820000.0,5500281000.0,8300000000.0,10505000000.0,1500000000.0,4210000000.0,321686000000.0,106869000000.0,,20484000000.0,,,46671000000.0,15754000000.0,2132000000.0,,27010000000.0,5414000000.0,3206000000.0,,8757000000.0,193437000000.0,79006000000.0,,37294000000.0,22027000000.0,8080000000.0,,,3500000000.0,75427000000.0,26019000000.0,36074000000.0,128249000000.0,,31251000000.0,,96364000000.0,634000000.0,,5336166000.0,5336166000.0,66231000000.0,65824000000.0,-45977000000.0,-45977000000.0,-20890000000.0,-20483000000.0,12734000000.0,297000000.0,,,29722000000.0,11965000000.0,24954000000.0,2500000000.0,,-636000000.0,,215639000000.0,45687000000.0,60024000000.0,321686000000.0,193437000000.0,128249000000.0,20484000000.0,,66231000000.0,12734000000.0,10045000000.0,0.3907595564809705,0.27835410106706115,0.211867983064288,0.046582482760539605,0.14202358821956815,0.3562366958026963,,0.6013224075651412,,,0.670340021014281,2.5082924623193943,53497000000.0,0.24808592137785837,1.4496683958237573,23.113733168601307,26.669870376586914,27.19113821057531,20.38657942691291,23.855402923765638,38729911200.0,153690123.80952382,252,0.1538538660996751,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2017-09-30,2017,229234000000.0,229234000000.0,229234000000.0,,141048000000.0,88186000000.0,11581000000.0,15261000000.0,26842000000.0,61344000000.0,2323000000.0,,2745000000.0,64089000000.0,15738000000.0,48351000000.0,,9.27,9.21,5217242000.0,5251692000.0,,10157000000.0,1200000000.0,4840000000.0,375319000000.0,128645000000.0,246674000000.0,20289000000.0,,,53892000000.0,17874000000.0,4855000000.0,,33783000000.0,5717000000.0,2298000000.0,,18177000000.0,241272000000.0,100814000000.0,140458000000.0,44242000000.0,25744000000.0,7548000000.0,,,6496000000.0,97207000000.0,31504000000.0,40415000000.0,134047000000.0,,35867000000.0,,98330000000.0,-150000000.0,,5126201000.0,5126201000.0,64225000000.0,,-46446000000.0,,-17974000000.0,,12451000000.0,329000000.0,,,32900000000.0,12769000000.0,28662000000.0,3500000000.0,,-195000000.0,,229234000000.0,48351000000.0,61344000000.0,375319000000.0,241272000000.0,134047000000.0,20289000000.0,,64225000000.0,12451000000.0,11581000000.0,0.38469860491899105,0.2676042820872994,0.21092420845075338,0.05052042890670668,0.12882641166580963,0.3607018433832909,,0.6428451530564666,,,0.6107711040474902,2.799906003118309,51774000000.0,0.22585654833052687,1.3283075841244234,26.665257396216138,39.595237731933594,41.46000256744993,26.425776468979528,34.98139664851337,27243106000.0,108538270.91633466,251,0.48489988840506193,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2018-09-29,2018,265595000000.0,265595000000.0,,,163756000000.0,101839000000.0,14236000000.0,16705000000.0,30941000000.0,70898000000.0,3240000000.0,,2005000000.0,72903000000.0,13372000000.0,59531000000.0,,3.0,2.98,19821510000.0,20000435000.0,,10903000000.0,,5340000000.0,365725000000.0,131339000000.0,234386000000.0,25913000000.0,,,40388000000.0,23186000000.0,3956000000.0,,41304000000.0,,,,22283000000.0,258578000000.0,115929000000.0,142649000000.0,55888000000.0,,7543000000.0,,,8784000000.0,93735000000.0,426000000.0,48914000000.0,107147000000.0,,40201000000.0,,70400000000.0,-3454000000.0,,4754986000.0,4754986000.0,77434000000.0,,16066000000.0,,-87876000000.0,,13313000000.0,721000000.0,,,72738000000.0,13712000000.0,6969000000.0,6500000000.0,,5624000000.0,,265595000000.0,59531000000.0,70898000000.0,365725000000.0,258578000000.0,107147000000.0,25913000000.0,,77434000000.0,13313000000.0,14236000000.0,0.38343718820007905,0.26694026619477024,0.22414202074587247,0.05360040663416103,0.16277530931710985,0.5556011834209077,,0.7070285050242668,,,0.7262150522933899,3.4133013523477094,64121000000.0,0.24142397258984544,1.300734071324184,39.812842847577855,37.460975646972656,55.25297609687015,34.81302014550831,44.597007888246814,34156144800.0,136080258.16733068,251,-0.05907307874519896,Apple Inc.,Technology,Consumer Electronics,150000,1.116
AAPL,large_cap,2019-09-28,2019,,260174000000.0,,,161782000000.0,98392000000.0,16217000000.0,18245000000.0,34462000000.0,63930000000.0,3576000000.0,,1807000000.0,65737000000.0,10481000000.0,55256000000.0,,2.99,2.97,18471336000.0,18595651000.0,,12547000000.0,,6068000000.0,338516000000.0,162819000000.0,175697000000.0,48844000000.0,,,,22926000000.0,4106000000.0,,37378000000.0,,,,32978000000.0,248028000000.0,105718000000.0,142310000000.0,46236000000.0,,,,,10260000000.0,91807000000.0,,50503000000.0,90488000000.0,,45174000000.0,,45898000000.0,-584000000.0,,17772945000.0,17772945000.0,69391000000.0,,45896000000.0,,-90976000000.0,,10495000000.0,624000000.0,,,66897000000.0,14119000000.0,6963000000.0,8805000000.0,,,,260174000000.0,55256000000.0,63930000000.0,338516000000.0,248028000000.0,90488000000.0,48844000000.0,,69391000000.0,10495000000.0,16217000000.0,0.3781776810903472,0.24572017188496928,0.21238094505984456,0.06233136285716482,0.16323009842961633,0.6106445053487756,,0.7326921031797611,,,0.7685722388306608,3.7410043320661304,58896000000.0,0.22637158209505945,1.2558093238743304,36.784145853458895,70.78545379638672,70.86259672343512,33.72295119720163,49.90212607005286,28254942800.0,112122788.8888889,252,0.9243468117591374,Apple Inc.,Technology,Consumer Electronics,150000,1.116
