ticker,cap_group,end_date,year,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,SalesRevenueNet,CostOfRevenue,CostOfGoodsAndServicesSold,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,OperatingExpenses,OperatingIncomeLoss,InterestExpense,InterestAndDebtExpense,NonoperatingIncomeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,DepreciationAndAmortization,DepreciationDepletionAndAmortization,AmortizationOfIntangibleAssets,ShareBasedCompensation,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,ShortTermInvestments,AvailableForSaleSecuritiesCurrent,AccountsReceivableNetCurrent,InventoryNet,PrepaidExpenseAndOtherAssetsCurrent,PropertyPlantAndEquipmentNet,Goodwill,IntangibleAssetsNetExcludingGoodwill,LongTermInvestments,OtherAssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,DeferredRevenueCurrent,ShortTermBorrowings,LongTermDebt,LongTermDebtCurrent,LongTermDebtNoncurrent,DeferredTaxLiabilitiesNoncurrent,OtherLiabilitiesNoncurrent,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,CommonStocksIncludingAdditionalPaidInCapital,AdditionalPaidInCapital,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLossNetOfTax,TreasuryStockValue,CommonStockSharesOutstanding,CommonStockSharesIssued,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInvestments,ProceedsFromSaleAndMaturityOfMarketableSecurities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,ProceedsFromIssuanceOfLongTermDebt,RepaymentsOfLongTermDebt,ProceedsFromRepaymentsOfShortTermDebt,CashAndCashEquivalentsPeriodIncreaseDecrease,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
AAPL,large_cap,2010-03-27,2010,,,13499000000.0,,17146000000.0,5625000000.0,824000000.0,2508000000.0,3332000000.0,8704000000.0,,,83000000.0,,2335000000.0,3074000000.0,,3.39,3.33,905545000.0,921331000.0,,,,436000000.0,57057000000.0,32336000000.0,,10018000000.0,,,13137000000.0,2886000000.0,638000000.0,,,480000000.0,263000000.0,,1925000000.0,17709000000.0,12229000000.0,,5666000000.0,4021000000.0,2542000000.0,,,,,,4539000000.0,39348000000.0,,,,29670000000.0,125000000.0,,909635811.0,909635811.0,8111000000.0,,-4041000000.0,,685000000.0,,,325000000.0,,,,,,,,4755000000.0,
AAPL,large_cap,2010-06-26,2010,,,15700000000.0,,26710000000.0,6136000000.0,1288000000.0,3946000000.0,5234000000.0,12938000000.0,,,141000000.0,,3374000000.0,3253000000.0,,3.57,3.51,907762000.0,923341000.0,,,,655000000.0,64725000000.0,36033000000.0,,9705000000.0,,,,3447000000.0,942000000.0,,,714000000.0,318000000.0,,2119000000.0,21614000000.0,15612000000.0,,8469000000.0,4452000000.0,2691000000.0,,,,,3828000000.0,4981000000.0,43111000000.0,,,,32870000000.0,108000000.0,,913482347.0,913482347.0,12912000000.0,,-9471000000.0,,1001000000.0,,,615000000.0,,,,,,,,4442000000.0,
AAPL,large_cap,2010-09-25,2010,,,20343000000.0,,,7512000000.0,,,,,,,,,,4308000000.0,,4.71,4.64,,,,,,,75183000000.0,41678000000.0,,11261000000.0,,,14359000000.0,5510000000.0,1051000000.0,,,741000000.0,342000000.0,,2263000000.0,27392000000.0,20722000000.0,,12015000000.0,5723000000.0,2984000000.0,,,,,4300000000.0,5531000000.0,47791000000.0,,,,37169000000.0,-46000000.0,,915970050.0,915970050.0,,,,,,,,,,,,,,,,,
AAPL,large_cap,2010-12-25,2010,,,26741000000.0,,16443000000.0,10298000000.0,575000000.0,1896000000.0,2471000000.0,7827000000.0,,,136000000.0,,1959000000.0,6004000000.0,,6.53,6.43,919294000.0,933154000.0,,,,299000000.0,86742000000.0,43927000000.0,,10734000000.0,,,,6027000000.0,885000000.0,,,741000000.0,522000000.0,,2954000000.0,32076000000.0,23795000000.0,,14301000000.0,5953000000.0,3541000000.0,,,,,5418000000.0,7065000000.0,54666000000.0,,,,43050000000.0,114000000.0,,921035475.0,921035475.0,9773000000.0,,-10729000000.0,,429000000.0,,,,,,,,,,,-527000000.0,
AAPL,large_cap,2011-03-26,2011,,,24667000000.0,,30892000000.0,10218000000.0,1156000000.0,3659000000.0,4815000000.0,15701000000.0,,,162000000.0,,3872000000.0,5987000000.0,,6.49,6.4,921245000.0,934549000.0,,,,586000000.0,94904000000.0,46997000000.0,,15978000000.0,,,,5798000000.0,930000000.0,,,741000000.0,507000000.0,,3885000000.0,33427000000.0,24327000000.0,,13714000000.0,7022000000.0,3591000000.0,,,,,6150000000.0,7870000000.0,61477000000.0,,,,49025000000.0,126000000.0,,924674079.0,924674079.0,15992000000.0,,-12251000000.0,,976000000.0,,,0.0,,,,,,,,4717000000.0,
AAPL,large_cap,2011-06-25,2011,,,28571000000.0,,47541000000.0,11922000000.0,1784000000.0,5574000000.0,7358000000.0,25080000000.0,,,334000000.0,,6115000000.0,7308000000.0,,7.89,7.79,922917000.0,935688000.0,,,,870000000.0,106758000000.0,46898000000.0,,12091000000.0,,,16304000000.0,6102000000.0,889000000.0,,,741000000.0,1169000000.0,,3440000000.0,37415000000.0,26859000000.0,,15270000000.0,7597000000.0,3992000000.0,,,,,7331000000.0,9149000000.0,69343000000.0,,,,56239000000.0,389000000.0,,926903779.0,926903779.0,27100000000.0,,-27283000000.0,,1013000000.0,,,0.0,,,,,,,,830000000.0,
AAPL,large_cap,2011-09-24,2011,,,28270000000.0,,,11380000000.0,,,,,,,,,,6623000000.0,,7.13,7.05,,,,,,,116371000000.0,44988000000.0,,9815000000.0,,,16137000000.0,5369000000.0,776000000.0,,7777000000.0,896000000.0,3536000000.0,,3556000000.0,39756000000.0,27970000000.0,,14632000000.0,9247000000.0,4091000000.0,,,,,8159000000.0,10100000000.0,76615000000.0,,,,62841000000.0,443000000.0,,929277000.0,929277000.0,,,,,,,,,,,,,,,,,
AAPL,large_cap,2011-12-31,2011,,,46333000000.0,,25630000000.0,20703000000.0,758000000.0,2605000000.0,3363000000.0,17340000000.0,,,137000000.0,,4413000000.0,13064000000.0,,14.03,13.87,931041000.0,941572000.0,,,,420000000.0,138681000000.0,54771000000.0,,10310000000.0,,,19846000000.0,8930000000.0,1236000000.0,,,896000000.0,3472000000.0,,4281000000.0,48627000000.0,34607000000.0,,18221000000.0,11500000000.0,4886000000.0,,,,,9725000000.0,11833000000.0,90054000000.0,,,,75709000000.0,384000000.0,,932214000.0,932214000.0,17554000000.0,,-17128000000.0,,69000000.0,,,0.0,,,0.0,0.0,,,,495000000.0,
AAPL,large_cap,2012-03-31,2012,,,39186000000.0,,46252000000.0,18564000000.0,1599000000.0,4944000000.0,6543000000.0,32724000000.0,,,285000000.0,,8323000000.0,11622000000.0,,12.45,12.3,932265000.0,943185000.0,,,,844000000.0,150934000000.0,50712000000.0,,10121000000.0,,,18417000000.0,7042000000.0,1102000000.0,,8847000000.0,1141000000.0,3604000000.0,,4992000000.0,48436000000.0,32036000000.0,,17011000000.0,9778000000.0,5247000000.0,,,,,11704000000.0,13954000000.0,102498000000.0,,,,87124000000.0,524000000.0,,934982000.0,934982000.0,31531000000.0,,-31604000000.0,,379000000.0,,,350000000.0,,,0.0,0.0,,,,306000000.0,
AAPL,large_cap,2012-06-30,2012,,,35023000000.0,,66281000000.0,14994000000.0,2475000000.0,7489000000.0,9964000000.0,44297000000.0,,,573000000.0,44870000000.0,11360000000.0,8824000000.0,,9.42,9.32,933672000.0,944440000.0,,,,1292000000.0,162896000000.0,51943000000.0,,7945000000.0,,,19709000000.0,7657000000.0,1122000000.0,,10487000000.0,1132000000.0,4329000000.0,,5438000000.0,51150000000.0,33060000000.0,,16808000000.0,10430000000.0,5822000000.0,,,,,13195000000.0,15560000000.0,111746000000.0,,,,95641000000.0,532000000.0,,937266000.0,937266000.0,41720000000.0,,-43914000000.0,,324000000.0,,,350000000.0,,,0.0,0.0,0.0,,,-1870000000.0,
AAPL,large_cap,2012-09-29,2012,,,35966000000.0,,,14401000000.0,,,,,,,,,,8223000000.0,,8.76,8.67,,,,,,,176064000000.0,57653000000.0,,10746000000.0,,,18383000000.0,10930000000.0,791000000.0,,15452000000.0,1135000000.0,4224000000.0,,5478000000.0,57854000000.0,38542000000.0,,21175000000.0,11414000000.0,5953000000.0,,0.0,,,13847000000.0,16664000000.0,118210000000.0,,,,101289000000.0,499000000.0,,939208000.0,939208000.0,,,,,,,,,,,,2500000000.0,,,,,
AAPL,large_cap,2012-12-29,2012,,,54512000000.0,,33452000000.0,21060000000.0,1010000000.0,2840000000.0,3850000000.0,17210000000.0,0.0,,462000000.0,17672000000.0,4594000000.0,13078000000.0,,1.99,1.97,938916000.0,947217000.0,,,,545000000.0,196088000000.0,72348000000.0,,16154000000.0,,,23666000000.0,11598000000.0,1455000000.0,,15422000000.0,1381000000.0,4462000000.0,,5183000000.0,68742000000.0,46879000000.0,,26398000000.0,13207000000.0,7274000000.0,,,,,15654000000.0,18925000000.0,127346000000.0,,,,109567000000.0,612000000.0,,938973000.0,938973000.0,23426000000.0,,-13521000000.0,,-4497000000.0,,,284000000.0,,,1950000000.0,2486000000.0,,,,5408000000.0,
