accessionNumber,filingDate,reportDate,form,primaryDocument,primaryDocDescription,ticker,accession_clean,filing_url
0001193125-15-153166,2015-04-28,2015-03-28,10-Q,d892246d10q.htm,10-Q,AAPL,000119312515153166,https://www.sec.gov/Archives/edgar/data/320193/000119312515153166/d892246d10q.htm
0001193125-15-259935,2015-07-22,2015-06-27,10-Q,d927922d10q.htm,FORM 10-Q,AAPL,000119312515259935,https://www.sec.gov/Archives/edgar/data/320193/000119312515259935/d927922d10q.htm
0001193125-15-356351,2015-10-28,2015-09-26,10-K,d17062d10k.htm,FORM 10-K,AAPL,000119312515356351,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
0001193125-16-439878,2016-01-27,2015-12-26,10-Q,d66145d10q.htm,FORM 10-Q,AAPL,000119312516439878,https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/d66145d10q.htm
0001193125-16-559625,2016-04-27,2016-03-26,10-Q,d165350d10q.htm,10-Q,AAPL,000119312516559625,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/d165350d10q.htm
0001628280-16-017809,2016-07-27,2016-06-25,10-Q,a10-qq320166252016.htm,10-Q,AAPL,000162828016017809,https://www.sec.gov/Archives/edgar/data/320193/000162828016017809/a10-qq320166252016.htm
0001628280-16-020309,2016-10-26,2016-09-24,10-K,a201610-k9242016.htm,10-K,AAPL,000162828016020309,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
0001628280-17-000717,2017-02-01,2016-12-31,10-Q,a10-qq1201712312016.htm,10-Q,AAPL,000162828017000717,https://www.sec.gov/Archives/edgar/data/320193/000162828017000717/a10-qq1201712312016.htm
0001628280-17-004790,2017-05-03,2017-04-01,10-Q,a10-qq22017412017.htm,10-Q,AAPL,000162828017004790,https://www.sec.gov/Archives/edgar/data/320193/000162828017004790/a10-qq22017412017.htm
0000320193-17-000009,2017-08-02,2017-07-01,10-Q,a10-qq32017712017.htm,10-Q,AAPL,000032019317000009,https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/a10-qq32017712017.htm
0000320193-17-000070,2017-11-03,2017-09-30,10-K,a10-k20179302017.htm,10-K,AAPL,000032019317000070,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
0000320193-18-000007,2018-02-02,2017-12-30,10-Q,a10-qq1201812302017.htm,10-Q,AAPL,000032019318000007,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/a10-qq1201812302017.htm
0000320193-18-000070,2018-05-02,2018-03-31,10-Q,a10-qq220183312018.htm,10-Q,AAPL,000032019318000070,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/a10-qq220183312018.htm
0000320193-18-000100,2018-08-01,2018-06-30,10-Q,a10-qq320186302018.htm,10-Q,AAPL,000032019318000100,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm
0000320193-18-000145,2018-11-05,2018-09-29,10-K,a10-k20189292018.htm,10-K,AAPL,000032019318000145,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
0000320193-19-000010,2019-01-30,2018-12-29,10-Q,a10-qq1201912292018.htm,10-Q,AAPL,000032019319000010,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/a10-qq1201912292018.htm
0000320193-19-000066,2019-05-01,2019-03-30,10-Q,a10-qq220193302019.htm,10-Q,AAPL,000032019319000066,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm
0000320193-19-000076,2019-07-31,2019-06-29,10-Q,a10-qq320196292019.htm,10-Q,AAPL,000032019319000076,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/a10-qq320196292019.htm
0000320193-19-000119,2019-10-31,2019-09-28,10-K,a10-k20199282019.htm,10-K,AAPL,000032019319000119,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
0000320193-20-000010,2020-01-29,2019-12-28,10-Q,a10-qq1202012282019.htm,10-Q,AAPL,000032019320000010,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/a10-qq1202012282019.htm
0000320193-20-000052,2020-05-01,2020-03-28,10-Q,a10-qq220203282020.htm,10-Q,AAPL,000032019320000052,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/a10-qq220203282020.htm
0000320193-20-000062,2020-07-31,2020-06-27,10-Q,aapl-20200627.htm,10-Q,AAPL,000032019320000062,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/aapl-20200627.htm
0000320193-20-000096,2020-10-30,2020-09-26,10-K,aapl-20200926.htm,10-K,AAPL,000032019320000096,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
0000320193-21-000010,2021-01-28,2020-12-26,10-Q,aapl-20201226.htm,10-Q,AAPL,000032019321000010,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/aapl-20201226.htm
0000320193-21-000056,2021-04-29,2021-03-27,10-Q,aapl-20210327.htm,10-Q,AAPL,000032019321000056,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/aapl-20210327.htm
0000320193-21-000065,2021-07-28,2021-06-26,10-Q,aapl-20210626.htm,10-Q,AAPL,000032019321000065,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/aapl-20210626.htm
0000320193-21-000105,2021-10-29,2021-09-25,10-K,aapl-20210925.htm,10-K,AAPL,000032019321000105,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
0000320193-22-000007,2022-01-28,2021-12-25,10-Q,aapl-20211225.htm,10-Q,AAPL,000032019322000007,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm
0000320193-22-000059,2022-04-29,2022-03-26,10-Q,aapl-20220326.htm,10-Q,AAPL,000032019322000059,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm
0000320193-22-000070,2022-07-29,2022-06-25,10-Q,aapl-20220625.htm,10-Q,AAPL,000032019322000070,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm
0000320193-22-000108,2022-10-28,2022-09-24,10-K,aapl-20220924.htm,10-K,AAPL,000032019322000108,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
0000320193-23-000006,2023-02-03,2022-12-31,10-Q,aapl-20221231.htm,10-Q,AAPL,000032019323000006,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm
0000320193-23-000064,2023-05-05,2023-04-01,10-Q,aapl-20230401.htm,10-Q,AAPL,000032019323000064,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm
0000320193-23-000077,2023-08-04,2023-07-01,10-Q,aapl-20230701.htm,10-Q,AAPL,000032019323000077,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm
0000320193-23-000106,2023-11-03,2023-09-30,10-K,aapl-20230930.htm,10-K,AAPL,000032019323000106,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
0000320193-24-000006,2024-02-02,2023-12-30,10-Q,aapl-20231230.htm,10-Q,AAPL,000032019324000006,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/aapl-20231230.htm
0000320193-24-000069,2024-05-03,2024-03-30,10-Q,aapl-20240330.htm,10-Q,AAPL,000032019324000069,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/aapl-20240330.htm
0000320193-24-000081,2024-08-02,2024-06-29,10-Q,aapl-20240629.htm,10-Q,AAPL,000032019324000081,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm
0000320193-24-000123,2024-11-01,2024-09-28,10-K,aapl-20240928.htm,10-K,AAPL,000032019324000123,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm
0001564590-20-002450,2020-01-29,2019-12-31,10-Q,msft-10q_20191231.htm,10-Q,MSFT,000156459020002450,https://www.sec.gov/Archives/edgar/data/789019/000156459020002450/msft-10q_20191231.htm
0001564590-20-019706,2020-04-29,2020-03-31,10-Q,msft-10q_20200331.htm,10-Q,MSFT,000156459020019706,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/msft-10q_20200331.htm
0001564590-20-034944,2020-07-30,2020-06-30,10-K,msft-10k_20200630.htm,10-K,MSFT,000156459020034944,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm
0001564590-20-047996,2020-10-27,2020-09-30,10-Q,msft-10q_20200930.htm,10-Q,MSFT,000156459020047996,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/msft-10q_20200930.htm
0001564590-21-002316,2021-01-26,2020-12-31,10-Q,msft-10q_20201231.htm,10-Q,MSFT,000156459021002316,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/msft-10q_20201231.htm
0001564590-21-020891,2021-04-27,2021-03-31,10-Q,msft-10q_20210331.htm,10-Q,MSFT,000156459021020891,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/msft-10q_20210331.htm
0001564590-21-039151,2021-07-29,2021-06-30,10-K,msft-10k_20210630.htm,10-K,MSFT,000156459021039151,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm
0001564590-21-051992,2021-10-26,2021-09-30,10-Q,msft-10q_20210930.htm,10-Q,MSFT,000156459021051992,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/msft-10q_20210930.htm
0001564590-22-002324,2022-01-25,2021-12-31,10-Q,msft-10q_20211231.htm,10-Q,MSFT,000156459022002324,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/msft-10q_20211231.htm
0001564590-22-015675,2022-04-26,2022-03-31,10-Q,msft-10q_20220331.htm,10-Q,MSFT,000156459022015675,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/msft-10q_20220331.htm
0001564590-22-026876,2022-07-28,2022-06-30,10-K,msft-10k_20220630.htm,10-K,MSFT,000156459022026876,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm
0001564590-22-035087,2022-10-25,2022-09-30,10-Q,msft-10q_20220930.htm,10-Q,MSFT,000156459022035087,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/msft-10q_20220930.htm
0001564590-23-000733,2023-01-24,2022-12-31,10-Q,msft-10q_20221231.htm,10-Q,MSFT,000156459023000733,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/msft-10q_20221231.htm
0000950170-23-014423,2023-04-25,2023-03-31,10-Q,msft-20230331.htm,10-Q,MSFT,000095017023014423,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/msft-20230331.htm
0000950170-23-035122,2023-07-27,2023-06-30,10-K,msft-20230630.htm,10-K,MSFT,000095017023035122,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
0000950170-23-054855,2023-10-24,2023-09-30,10-Q,msft-20230930.htm,10-Q,MSFT,000095017023054855,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/msft-20230930.htm
0000950170-24-008814,2024-01-30,2023-12-31,10-Q,msft-20231231.htm,10-Q,MSFT,000095017024008814,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/msft-20231231.htm
0000950170-24-048288,2024-04-25,2024-03-31,10-Q,msft-20240331.htm,10-Q,MSFT,000095017024048288,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/msft-20240331.htm
0000950170-24-087843,2024-07-30,2024-06-30,10-K,msft-20240630.htm,10-K,MSFT,000095017024087843,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm
0000950170-24-118967,2024-10-30,2024-09-30,10-Q,msft-20240930.htm,10-Q,MSFT,000095017024118967,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/msft-20240930.htm
0001045810-20-000010,2020-02-20,2020-01-26,10-K,nvda-2020x10k.htm,FY2020 10-K,NVDA,000104581020000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm
0001045810-20-000065,2020-05-21,2020-04-26,10-Q,nvda-20200426.htm,Q1FY21 10-Q,NVDA,000104581020000065,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000065/nvda-20200426.htm
0001045810-20-000147,2020-08-19,2020-07-26,10-Q,nvda-20200726.htm,10-Q,NVDA,000104581020000147,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000147/nvda-20200726.htm
0001045810-20-000189,2020-11-18,2020-10-25,10-Q,nvda-20201025.htm,10-Q,NVDA,000104581020000189,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000189/nvda-20201025.htm
0001045810-21-000010,2021-02-26,2021-01-31,10-K,nvda-20210131.htm,FY2021 10-K,NVDA,000104581021000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm
0001045810-21-000064,2021-05-26,2021-05-02,10-Q,nvda-20210502.htm,10-Q,NVDA,000104581021000064,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000064/nvda-20210502.htm
0001045810-21-000131,2021-08-20,2021-08-01,10-Q,nvda-20210801.htm,10-Q,NVDA,000104581021000131,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000131/nvda-20210801.htm
0001045810-21-000163,2021-11-22,2021-10-31,10-Q,nvda-20211031.htm,10-Q,NVDA,000104581021000163,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000163/nvda-20211031.htm
0001045810-22-000036,2022-03-18,2022-01-30,10-K,nvda-20220130.htm,10-K,NVDA,000104581022000036,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm
0001045810-22-000079,2022-05-27,2022-05-01,10-Q,nvda-20220501.htm,10-Q,NVDA,000104581022000079,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000079/nvda-20220501.htm
0001045810-22-000147,2022-08-31,2022-07-31,10-Q,nvda-20220731.htm,10-Q,NVDA,000104581022000147,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000147/nvda-20220731.htm
0001045810-22-000166,2022-11-18,2022-10-30,10-Q,nvda-20221030.htm,10-Q,NVDA,000104581022000166,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000166/nvda-20221030.htm
0001045810-23-000017,2023-02-24,2023-01-29,10-K,nvda-20230129.htm,10-K,NVDA,000104581023000017,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
