end_date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Salaries And Wages,Average Dilution Earnings,Net Income Discontinuous Operations,Gain On Sale Of Ppe,Provision For Doubtful Accounts,Earnings From Equity Interest Net Of Tax,Other Special Charges,Minority Interests,Gain On Sale Of Business,Total Other Finance Cost,Preferred Stock Dividends,Impairment Of Capital Assets,Otherunder Preferred Stock Dividend,cap_group
2024-09-30,0.0,0.241,134661000000.0,93736000000.0,11445000000.0,210352000000.0,134661000000.0,123216000000.0,,,,93736000000.0,93736000000.0,267819000000.0,123216000000.0,15408095000.0,15343783000.0,6.08,6.11,93736000000.0,93736000000.0,93736000000.0,93736000000.0,93736000000.0,29749000000.0,123485000000.0,269000000.0,269000000.0,,,,123216000000.0,57467000000.0,31370000000.0,26097000000.0,180683000000.0,210352000000.0,391035000000.0,391035000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2023-09-30,0.0,0.147,125820000000.0,96995000000.0,11519000000.0,214137000000.0,125820000000.0,114301000000.0,-183000000.0,3933000000.0,3750000000.0,96995000000.0,96995000000.0,268984000000.0,114301000000.0,15812547000.0,15744231000.0,6.13,6.16,96995000000.0,96995000000.0,96995000000.0,96995000000.0,96995000000.0,16741000000.0,113736000000.0,-565000000.0,-565000000.0,-183000000.0,3933000000.0,3750000000.0,114301000000.0,54847000000.0,29915000000.0,24932000000.0,169148000000.0,214137000000.0,383285000000.0,383285000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2022-09-30,0.0,0.162,130541000000.0,99803000000.0,11104000000.0,223546000000.0,130541000000.0,119437000000.0,-106000000.0,2931000000.0,2825000000.0,99803000000.0,99803000000.0,274891000000.0,119437000000.0,16325819000.0,16215963000.0,6.11,6.15,99803000000.0,99803000000.0,99803000000.0,99803000000.0,99803000000.0,19300000000.0,119103000000.0,-334000000.0,-334000000.0,-106000000.0,2931000000.0,2825000000.0,119437000000.0,51345000000.0,26251000000.0,25094000000.0,170782000000.0,223546000000.0,394328000000.0,394328000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2021-09-30,,,,,,,,,198000000.0,2645000000.0,2843000000.0,,,,,,,,,,,,,,,,,,198000000.0,2645000000.0,2843000000.0,,,,,,,,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-06-30,-99918000.0,0.182,133558000000.0,88136000000.0,22287000000.0,74114000000.0,133009000000.0,110722000000.0,222000000.0,2935000000.0,3157000000.0,88585082000.0,88136000000.0,135689000000.0,109433000000.0,7469000000.0,7431000000.0,11.8,11.86,88136000000.0,88136000000.0,88136000000.0,88136000000.0,88136000000.0,19651000000.0,107787000000.0,-1868000000.0,-1319000000.0,222000000.0,2935000000.0,3157000000.0,109433000000.0,61575000000.0,29510000000.0,32065000000.0,171008000000.0,74114000000.0,245122000000.0,245122000000.0,MSFT,-549000000.0,-549000000.0,-206000000.0,206000000.0,-343000000.0,24456000000.0,7609000000.0,7609000000.0,,,,,,,,,,,,,,,,,,,,,large_cap
2023-06-30,-2850000.0,0.19,105155000000.0,72361000000.0,13861000000.0,65863000000.0,105140000000.0,91279000000.0,1026000000.0,1968000000.0,2994000000.0,72373150000.0,72361000000.0,123392000000.0,88523000000.0,7472000000.0,7446000000.0,9.68,9.72,72361000000.0,72361000000.0,72361000000.0,72361000000.0,72361000000.0,16950000000.0,89311000000.0,-238000000.0,-223000000.0,1026000000.0,1968000000.0,2994000000.0,88523000000.0,57529000000.0,27195000000.0,30334000000.0,146052000000.0,65863000000.0,211915000000.0,211915000000.0,MSFT,-15000000.0,-15000000.0,-30000000.0,30000000.0,15000000.0,22759000000.0,7575000000.0,7575000000.0,,,,,,,,,,,,,,,,,,,,,large_cap
2022-06-30,43754000.0,0.131,99905000000.0,72738000000.0,14460000000.0,62650000000.0,100239000000.0,85779000000.0,31000000.0,2063000000.0,2094000000.0,72447754000.0,72738000000.0,114887000000.0,83383000000.0,7540000000.0,7496000000.0,9.65,9.7,72738000000.0,72738000000.0,72738000000.0,72738000000.0,72738000000.0,10978000000.0,83716000000.0,302000000.0,-32000000.0,31000000.0,2063000000.0,2094000000.0,83383000000.0,52237000000.0,24512000000.0,27725000000.0,135620000000.0,62650000000.0,198270000000.0,198270000000.0,MSFT,334000000.0,334000000.0,-101000000.0,101000000.0,435000000.0,21825000000.0,5900000000.0,5900000000.0,,,,,,,,,,,,,,,,,,,,,large_cap
2024-01-31,0.0,0.12,35583000000.0,29760000000.0,1508000000.0,16621000000.0,35583000000.0,34075000000.0,609000000.0,257000000.0,866000000.0,29760000000.0,29760000000.0,27950000000.0,32972000000.0,24940000000.0,24690000000.0,1.19,1.21,29760000000.0,29760000000.0,29760000000.0,29760000000.0,29760000000.0,4058000000.0,33818000000.0,237000000.0,237000000.0,609000000.0,257000000.0,866000000.0,32972000000.0,11329000000.0,8675000000.0,2654000000.0,44301000000.0,16621000000.0,60922000000.0,60922000000.0,NVDA,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,large_cap
2023-01-31,-284130000.0,0.21,7339000000.0,4368000000.0,1543000000.0,11618000000.0,5986000000.0,4443000000.0,5000000.0,262000000.0,267000000.0,5436870000.0,4368000000.0,21397000000.0,4224000000.0,25070000000.0,24870000000.0,0.17,0.18,4368000000.0,4368000000.0,4368000000.0,4368000000.0,4368000000.0,-187000000.0,4181000000.0,-1401000000.0,-48000000.0,5000000.0,262000000.0,267000000.0,5577000000.0,9779000000.0,7339000000.0,2440000000.0,15356000000.0,11618000000.0,26974000000.0,26974000000.0,NVDA,-1353000000.0,-1353000000.0,-1353000000.0,,,,,,1353000000.0,,,,,,,,,,,,,,,,,,,,large_cap
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,large_cap
