end_date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,ticker,Issuance Of Capital Stock,Effect Of Exchange Rate Changes,Common Stock Issuance,Net Business Purchase And Sale,Purchase Of Business,Change In Other Working Capital,Change In Tax Payable,Change In Income Tax Payable,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Proceeds From Stock Option Exercised,Sale Of Business,Change In Accrued Expense,Change In Prepaid Assets,Gain Loss On Sale Of Business,Capital Expenditure Reported,Amortization Cash Flow,Amortization Of Intangibles,Interest Paid Supplemental Data,Provisionand Write Offof Assets,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Sale Of PPE,Pension And Employee Benefit Expense,Short Term Debt Issuance,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Cash From Discontinued Financing Activities,Earnings Losses From Equity Investments,Net Preferred Stock Issuance,Preferred Stock Issuance,Gain Loss On Sale Of PPE,Other Cash Adjustment Outside Changein Cash,Amortization Of Securities,Net Foreign Currency Exchange Gain Loss,Change In Interest Payable,cap_group
2024-12-31,26995000000.0,-23606000000.0,-8953000000.0,,-2940000000.0,18651000000.0,30299000000.0,29943000000.0,356000000.0,-39371000000.0,-39371000000.0,-2956000000.0,-3856000000.0,-3856000000.0,-23606000000.0,-23606000000.0,-8953000000.0,-7944000000.0,-7944000000.0,-1009000000.0,-1009000000.0,,9792000000.0,9792000000.0,-603000000.0,13335000000.0,19459000000.0,-6124000000.0,-2940000000.0,-2940000000.0,29935000000.0,29935000000.0,-10752000000.0,-11998000000.0,939000000.0,-6671000000.0,-6671000000.0,-6671000000.0,215000000.0,6763000000.0,3597000000.0,-2009000000.0,3286000000.0,3080000000.0,3080000000.0,36330000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-09-30,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-06-30,,,,,,,,,,,,,,,,,,,997000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-12-31,6487000000.0,-4986000000.0,0.0,0.0,-15804000000.0,,17482000000.0,20840000000.0,-3064000000.0,-11243000000.0,-11243000000.0,-343000000.0,-6170000000.0,-6170000000.0,-4730000000.0,-4986000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-14112000000.0,-14112000000.0,-16000000.0,3113000000.0,5163000000.0,-2050000000.0,-15804000000.0,-15804000000.0,22291000000.0,22291000000.0,-11551000000.0,3933000000.0,-1442000000.0,958000000.0,958000000.0,958000000.0,711000000.0,-5978000000.0,-5978000000.0,,3089000000.0,5667000000.0,5667000000.0,24108000000.0,MSFT,256000000.0,-294000000.0,256000000.0,-1405000000.0,-1405000000.0,-9733000000.0,-3395000000.0,-3395000000.0,-25000000.0,867000000.0,-1158000000.0,-1158000000.0,5667000000.0,2136000000.0,134000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-09-30,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,1016000000.0,1016000000.0,-412000000.0,7000000.0,,,,,280000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-06-30,,,,5447000000.0,,,,,,,,,,,,,,,,,,197000000.0,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,-806000000.0,-806000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-10-31,,,0.0,,,3540000000.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,,,,,,,,,,,,,,,,,66000000.0,,,-38000000.0,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168000000.0,,,,,ORCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-08-31,,,,,,,,,,,,,,,,,,,-396000000.0,,,,,,,,,,,,,,,,,,,,,,,130000000.0,,,,,ORCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,,,,,CSCO,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,,,,,,,,,,,,,,,,,large_cap
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSCO,367000000.0,,367000000.0,,,,,,,,,,,,,,,,,,,,,,15000000.0,,,,,,,,,,,,,,,,,large_cap
2024-12-31,3886000000.0,-112000000.0,-124000000.0,0.0,-444000000.0,,14160000000.0,13214000000.0,1276000000.0,-1676000000.0,-1674000000.0,-660000000.0,-1546000000.0,-1546000000.0,633000000.0,-112000000.0,-103000000.0,21000000.0,,-124000000.0,-124000000.0,0.0,-1379000000.0,-1379000000.0,,-408000000.0,853000000.0,-1261000000.0,-282000000.0,-303000000.0,4330000000.0,4330000000.0,1920000000.0,,,,,,,,,,345000000.0,1113000000.0,1113000000.0,2914000000.0,IBM,,-330000000.0,,-548000000.0,-541000000.0,,,,,,,,524000000.0,368000000.0,,,-7000000.0,,,-20000000.0,,589000000.0,589000000.0,,,-141000000.0,-141000000.0,21000000.0,388000000.0,,,,,,,,,,,,,large_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBM,125000000.0,,125000000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-12-31,1091000000.0,-298000000.0,0.0,,-208000000.0,375000000.0,3811000000.0,3897000000.0,-86000000.0,-171000000.0,-171000000.0,0.0,,,-298000000.0,-298000000.0,0.0,,,0.0,0.0,,-1214000000.0,-1214000000.0,31000000.0,-1037000000.0,90000000.0,-1127000000.0,-208000000.0,-208000000.0,1299000000.0,1299000000.0,-70000000.0,,,-328000000.0,-585000000.0,-585000000.0,-362000000.0,-3000000.0,-3000000.0,62000000.0,339000000.0,786000000.0,786000000.0,482000000.0,AMD,,,,0.0,0.0,30000000.0,,,,,-300000000.0,-300000000.0,-1607000000.0,,,127000000.0,,257000000.0,593000000.0,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-09-30,,,0.0,,,700000000.0,,,,,,0.0,,,,,,,,,0.0,,,,-17000000.0,,,,,,,,,,,,,,,,,,,,,,AMD,,,,-565000000.0,-565000000.0,36000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-06-30,,,,0.0,,224000000.0,,,,,,0.0,,,,,,,,,,0.0,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,AMD,,,,,,-11000000.0,,,,,,,,,,,,,,,,603000000.0,603000000.0,,,,,,,,,,,,,,,,,,,large_cap
2024-10-31,,,,,,,,,,,,,,-382000000.0,,,,,,,,,,,,,,,,,,,,,,,32000000.0,,,,,,,,,,CRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-12-31,-2669000000.0,,0.0,0.0,-5834000000.0,322000000.0,8249000000.0,8785000000.0,-536000000.0,63000000.0,63000000.0,62000000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-3764000000.0,-3764000000.0,331000000.0,1821000000.0,8242000000.0,-6421000000.0,-5834000000.0,-5834000000.0,3165000000.0,3165000000.0,750000000.0,,,-1534000000.0,68000000.0,68000000.0,-136000000.0,-357000000.0,-357000000.0,-135000000.0,651000000.0,2647000000.0,2647000000.0,-153000000.0,INTC,,,,,,2777000000.0,,,,-38000000.0,,,2300000000.0,-6689000000.0,-6689000000.0,1000000.0,,-1602000000.0,,,,347000000.0,347000000.0,-112000000.0,,,,,,0.0,,,,,,,,,,,,large_cap
2024-09-30,,,,,,,,,,,,,,,,,,,-4740000000.0,,,,,,,,,,,,,,,,,,,,,,,3408000000.0,,,,,INTC,,,,,,,,,,2164000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-06-30,,,,,,,,,,,,,,,,,,,-2609000000.0,,,,,,,,,,,,,,,,,,,,,,,943000000.0,,,,,INTC,,,,0.0,,,,,,,-993000000.0,-993000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
