ticker,longName,sector,industry,fullTimeEmployees,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,priceToSalesTrailing12Months,enterpriseToRevenue,enterpriseToEbitda,profitMargins,operatingMargins,returnOnAssets,returnOnEquity,revenueGrowth,earningsGrowth,currentRatio,quickRatio,debtToEquity,dividendYield,payoutRatio,beta,52WeekChange,sharesOutstanding,floatShares,sharesShort,shortRatio,cap_group
AAPL,Apple Inc.,Technology,Consumer Electronics,150000,3702407299072,3755988221952,31.845764,27.024736,,41.99733,8.499732,8.622,24.565,0.27037,0.35374,0.24377,1.5202099,0.157,0.183,0.974,0.845,102.63,0.41,0.1304,1.116,0.18114662,14681140000,14656182062,129553812,2.41,large_cap
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,228000,2933856665600,2999686529024,24.702127,20.947771,,7.502423,9.604937,9.82,17.116,0.39044,0.47094002,0.1486,0.34390998,0.167,0.598,1.386,1.239,31.539,0.91,0.21280001,1.108,0.029885054,7425629076,7414787658,74347979,1.63,large_cap
NVDA,NVIDIA Corporation,Technology,Semiconductors,42000,4437601943552,4369754882048,37.337383,16.582832,,28.210724,20.5515,20.236,32.799,0.55603004,0.65024,0.51188,1.01485,0.732,0.956,3.905,3.141,7.255,0.02,0.0082,2.375,0.54807687,24300000000,23330430000,248340872,1.32,large_cap
ORCL,Oracle Corporation,Technology,Software - Infrastructure,162000,442422165504,573438558208,27.617594,19.296965,,13.186182,6.904647,8.949,20.038,0.25298,0.32676,0.06335,0.57572,0.217,0.245,1.347,1.224,415.265,1.29,0.35909998,1.648,0.014693379,2876046000,1708975294,31499783,1.03,large_cap
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,86200,312768659456,329071034368,28.474821,17.529486,,6.550269,5.2963166,5.572,20.2,0.18756,0.24868,0.06994,0.23754999,0.097,0.312,0.955,0.737,66.509,2.12,0.5899,0.829,0.29695678,3949893042,3943336220,59534589,2.14,large_cap
IBM,International Business Machines Corporation,Technology,Information Technology Services,264300,237961773056,290522988544,22.763016,18.96542,,7.277371,3.5235326,4.302,18.025,0.15685001,0.24768999,0.05435,0.35158002,0.122,0.899,0.956,0.812,197.328,2.62,0.6023,0.706,0.015141249,938409072,936083292,21365595,2.93,large_cap
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,31000,325960531968,313519964160,76.59977,18.605639,,5.1727138,9.410218,9.051,46.482,0.12515001,0.17059,0.032,0.07082,0.341,2.171,2.85,1.784,6.359,,0.0,2.022,0.84797144,1630410843,1621378367,34593125,0.84,large_cap
CRM,"Salesforce, Inc.",Technology,Software - Application,83334,182274605056,188417130496,24.971758,13.049417,,3.055669,4.389515,4.537,15.016,0.17958,0.19239001,0.05179,0.123959996,0.121,0.179,0.76,0.644,29.947,0.9,0.2133,1.307,-0.30094135,923000000,897709800,21903394,1.46,large_cap
INTC,Intel Corporation,Technology,Semiconductors,85100,224658145280,241851695104,,45.375206,,1.9653468,4.2506227,4.576,19.144,-0.00505,0.051409997,0.0028400002,0.00022,-0.041,,2.017,1.307,37.282,,0.0,1.375,0.82669985,4995000000,4985959050,120145448,1.21,large_cap
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,52000,139913904128,143401533440,26.41129,11.749575,,6.097845,3.1184146,3.196,10.419,0.11958,0.27473,0.14047,0.2148,0.05,-0.018,2.505,1.626,64.218,2.71,0.7097,1.267,-0.16852015,1067000000,1064716620,37512985,3.27,large_cap
