end_date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,ticker,Effect Of Exchange Rate Changes,Short Term Debt Issuance,Change In Tax Payable,Change In Income Tax Payable,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Proceeds From Stock Option Exercised,Change In Accrued Expense,Change In Prepaid Assets,Amortization Cash Flow,Amortization Of Intangibles,Capital Expenditure Reported,Provisionand Write Offof Assets,Sale Of Business,Sale Of PPE,Gain Loss On Sale Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Pension And Employee Benefit Expense,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Earnings Losses From Equity Investments,Gain Loss On Sale Of PPE,Short Term Debt Payments,Cash From Discontinued Financing Activities,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Dividend Paid,Net Foreign Currency Exchange Gain Loss,Sale Of Intangibles,Other Cash Adjustment Outside Changein Cash,Amortization Of Securities,Change In Interest Payable,cap_group
2024-09-30,108807000000.0,-94949000000.0,-9958000000.0,0.0,,-9447000000.0,,26102000000.0,29943000000.0,30737000000.0,-794000000.0,-121983000000.0,-121983000000.0,-5802000000.0,-15234000000.0,-15234000000.0,-94949000000.0,-94949000000.0,,-5998000000.0,3960000000.0,-9958000000.0,-9958000000.0,0.0,2935000000.0,2935000000.0,-1308000000.0,13690000000.0,62346000000.0,-48656000000.0,,,-9447000000.0,-9447000000.0,118254000000.0,118254000000.0,3651000000.0,,15552000000.0,-11731000000.0,6020000000.0,6020000000.0,6020000000.0,-1046000000.0,-5144000000.0,-3788000000.0,-2266000000.0,11688000000.0,,,11445000000.0,11445000000.0,93736000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2023-09-30,99584000000.0,-77550000000.0,-11151000000.0,5228000000.0,,-10959000000.0,3803000000.0,18679000000.0,30737000000.0,24977000000.0,5760000000.0,-108488000000.0,-108488000000.0,-6012000000.0,-15025000000.0,-15025000000.0,-77550000000.0,-77550000000.0,,-9901000000.0,-3978000000.0,-5923000000.0,-11151000000.0,5228000000.0,3705000000.0,3705000000.0,-1337000000.0,16001000000.0,45514000000.0,-29513000000.0,,,-10959000000.0,-10959000000.0,110543000000.0,110543000000.0,-6577000000.0,,3031000000.0,-5684000000.0,-1889000000.0,-1889000000.0,-1889000000.0,-1618000000.0,-417000000.0,-1688000000.0,-2227000000.0,10833000000.0,,,11519000000.0,11519000000.0,96995000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2022-09-30,111443000000.0,-89402000000.0,-9543000000.0,5465000000.0,,-10708000000.0,2865000000.0,19573000000.0,24977000000.0,35929000000.0,-10952000000.0,-110749000000.0,-110749000000.0,-6383000000.0,-14841000000.0,-14841000000.0,-89402000000.0,-89402000000.0,,-123000000.0,3955000000.0,-4078000000.0,-9543000000.0,5465000000.0,-22354000000.0,-22354000000.0,-2086000000.0,-9560000000.0,67363000000.0,-76923000000.0,-306000000.0,-306000000.0,-10708000000.0,-10708000000.0,122151000000.0,122151000000.0,1200000000.0,478000000.0,6110000000.0,-6499000000.0,9448000000.0,9448000000.0,9448000000.0,1484000000.0,-9343000000.0,-1823000000.0,1006000000.0,9038000000.0,895000000.0,895000000.0,11104000000.0,11104000000.0,99803000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2021-09-30,,,,,1105000000.0,,2687000000.0,,,,,,,,,,,,1105000000.0,,,,,,,,,,,,-33000000.0,-33000000.0,,,,,,1676000000.0,,,,,,,,,,,-4774000000.0,-4774000000.0,,,,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-06-30,74071000000.0,-17254000000.0,-29070000000.0,24395000000.0,2002000000.0,-44477000000.0,,,18315000000.0,34704000000.0,-16179000000.0,-37757000000.0,-37757000000.0,-1309000000.0,-21771000000.0,-21771000000.0,-15252000000.0,-17254000000.0,2002000000.0,575000000.0,5250000000.0,-4675000000.0,-29070000000.0,24395000000.0,-96970000000.0,-96970000000.0,-1298000000.0,17937000000.0,35669000000.0,-17732000000.0,-69132000000.0,-69132000000.0,-44477000000.0,-44477000000.0,118548000000.0,118548000000.0,1824000000.0,7035000000.0,5616000000.0,-8465000000.0,3545000000.0,3545000000.0,3545000000.0,1284000000.0,-7191000000.0,-7191000000.0,,10734000000.0,-4738000000.0,-4738000000.0,22287000000.0,22287000000.0,88136000000.0,MSFT,-210000000.0,5250000000.0,1687000000.0,1687000000.0,-146000000.0,206000000.0,22287000000.0,245000000.0,245000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2023-06-30,59475000000.0,-22245000000.0,-2750000000.0,0.0,1866000000.0,-28107000000.0,,,34704000000.0,13931000000.0,20967000000.0,-43935000000.0,-43935000000.0,-1006000000.0,-19800000000.0,-19800000000.0,-20379000000.0,-22245000000.0,1866000000.0,-2750000000.0,0.0,-2750000000.0,-2750000000.0,0.0,-22680000000.0,-22680000000.0,-3116000000.0,10213000000.0,47864000000.0,-37651000000.0,-1670000000.0,-1670000000.0,-28107000000.0,-28107000000.0,87582000000.0,87582000000.0,-2388000000.0,5177000000.0,2825000000.0,-4824000000.0,-2721000000.0,-2721000000.0,-2721000000.0,1242000000.0,-4087000000.0,-4087000000.0,,9611000000.0,-6059000000.0,-6059000000.0,13861000000.0,13861000000.0,72361000000.0,MSFT,-194000000.0,0.0,-358000000.0,-358000000.0,-303000000.0,30000000.0,13861000000.0,469000000.0,469000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2022-06-30,65149000000.0,-32696000000.0,-9023000000.0,0.0,1841000000.0,-23886000000.0,,,13931000000.0,14224000000.0,-152000000.0,-58876000000.0,-58876000000.0,-863000000.0,-18135000000.0,-18135000000.0,-30855000000.0,-32696000000.0,1841000000.0,-9023000000.0,0.0,-9023000000.0,-9023000000.0,0.0,-30311000000.0,-30311000000.0,-2825000000.0,18438000000.0,44894000000.0,-26456000000.0,-22038000000.0,-22038000000.0,-23886000000.0,-23886000000.0,89035000000.0,89035000000.0,446000000.0,5805000000.0,3169000000.0,-3514000000.0,2943000000.0,2943000000.0,2943000000.0,-1123000000.0,-6834000000.0,-6834000000.0,,7502000000.0,-5702000000.0,-5702000000.0,14460000000.0,14460000000.0,72738000000.0,MSFT,-141000000.0,0.0,696000000.0,696000000.0,-509000000.0,101000000.0,14460000000.0,-1000000.0,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,-2309000000.0,-2309000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-01-31,27021000000.0,-9533000000.0,-1250000000.0,0.0,,-1069000000.0,252000000.0,6549000000.0,7280000000.0,3389000000.0,3891000000.0,-13633000000.0,-13633000000.0,-2858000000.0,-395000000.0,-395000000.0,-9533000000.0,-9533000000.0,,-1250000000.0,,-1250000000.0,-1250000000.0,0.0,-10566000000.0,-10566000000.0,-124000000.0,-9290000000.0,9783000000.0,-19073000000.0,-83000000.0,-83000000.0,-1069000000.0,-1069000000.0,28090000000.0,28090000000.0,-3722000000.0,,514000000.0,,3556000000.0,1531000000.0,1531000000.0,-98000000.0,-6172000000.0,-6172000000.0,-278000000.0,3549000000.0,-2489000000.0,-2489000000.0,1508000000.0,1508000000.0,29760000000.0,NVDA,,,,,,,894000000.0,-238000000.0,-238000000.0,403000000.0,2025000000.0,-1522000000.0,614000000.0,614000000.0,,,,,,,,,,,,,,,,,,,,,,,large_cap
2023-01-31,3808000000.0,-10039000000.0,0.0,0.0,,-1833000000.0,254000000.0,1404000000.0,3389000000.0,1990000000.0,1399000000.0,-11617000000.0,-11617000000.0,-1535000000.0,-398000000.0,-398000000.0,-10039000000.0,-10039000000.0,,0.0,,0.0,0.0,0.0,7375000000.0,7375000000.0,,9257000000.0,21239000000.0,-11982000000.0,-49000000.0,-49000000.0,-1833000000.0,-1833000000.0,5641000000.0,5640000000.0,-2207000000.0,,252000000.0,,790000000.0,-551000000.0,-551000000.0,-2554000000.0,822000000.0,822000000.0,1347000000.0,2709000000.0,-2164000000.0,-2164000000.0,1543000000.0,1543000000.0,4368000000.0,NVDA,,,,,,,844000000.0,45000000.0,45000000.0,355000000.0,1341000000.0,-1517000000.0,699000000.0,699000000.0,,,,,,,,,,,,,,,,,,,,,,,large_cap
