end_date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Interest Income,Interest Expense,Interest Income,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Preferred Stock Dividends,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Salaries And Wages,Net Income Discontinuous Operations,Other Operating Expenses,Provision For Doubtful Accounts,Earnings From Equity Interest Net Of Tax,Minority Interests,Gain On Sale Of Business,Other Special Charges,Total Other Finance Cost,Impairment Of Capital Assets,Gain On Sale Of Ppe,Average Dilution Earnings,Otherunder Preferred Stock Dividend,cap_group
2024-12-31,0.0,0.147,45912000000.0,36330000000.0,3080000000.0,66025000000.0,45912000000.0,42832000000.0,36330000000.0,36330000000.0,81468000000.0,42832000000.0,15150865000.0,15081724000.0,2.4,2.41,36330000000.0,36330000000.0,36330000000.0,36330000000.0,36330000000.0,6254000000.0,42584000000.0,-248000000.0,-248000000.0,42832000000.0,15443000000.0,8268000000.0,7175000000.0,58275000000.0,66025000000.0,124300000000.0,124300000000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-12-31,-203220000.0,0.18,36755000000.0,24108000000.0,5667000000.0,21799000000.0,35626000000.0,29959000000.0,25033780000.0,24108000000.0,37979000000.0,31653000000.0,7468000000.0,7435000000.0,3.23,3.24,24108000000.0,24108000000.0,24108000000.0,24108000000.0,24108000000.0,5257000000.0,29365000000.0,-2294000000.0,-1165000000.0,31653000000.0,16180000000.0,7917000000.0,8263000000.0,47833000000.0,21799000000.0,69632000000.0,69632000000.0,MSFT,-1129000000.0,-1129000000.0,6000000.0,594000000.0,600000000.0,-867000000.0,867000000.0,-262000000.0,6000000.0,594000000.0,600000000.0,6440000000.0,1823000000.0,1823000000.0,,,,,,,,,,,,,,,,,,,,,large_cap
2024-11-30,,,,,,,,,,,,,2869000000.0,2790000000.0,1.1,1.13,,,,,,,,,,,,,,,,,,ORCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-12-31,76923472.474289,0.11464,4172000000.0,2927000000.0,1113000000.0,6291000000.0,4843000000.0,3730000000.0,2332923472.474289,2914000000.0,13652000000.0,,942400000.0,926000000.0,3.09,3.15,2914000000.0,2914000000.0,2914000000.0,2914000000.0,2927000000.0,379000000.0,3306000000.0,-320000000.0,-991000000.0,3901000000.0,6538000000.0,1967000000.0,4586000000.0,10439000000.0,7114000000.0,17553000000.0,17553000000.0,IBM,671000000.0,671000000.0,-274000000.0,424000000.0,150000000.0,597000000.0,,74000000.0,-274000000.0,424000000.0,150000000.0,261000000.0,4325000000.0,4146000000.0,,-5000000.0,,290000000.0,290000000.0,290000000.0,290000000.0,179000000.0,-13000000.0,-301000000.0,-4000000.0,,,,,,,,,,large_cap
2024-12-31,0.0,0.21,1694000000.0,482000000.0,786000000.0,3322000000.0,1694000000.0,908000000.0,482000000.0,482000000.0,6601000000.0,871000000.0,1634000000.0,1623000000.0,0.29,0.3,482000000.0,482000000.0,482000000.0,482000000.0,482000000.0,419000000.0,889000000.0,-331000000.0,-147000000.0,1057000000.0,2825000000.0,1712000000.0,792000000.0,3882000000.0,3776000000.0,7658000000.0,7658000000.0,AMD,,,163000000.0,19000000.0,,,,,163000000.0,19000000.0,,,,,,,,332000000.0,332000000.0,332000000.0,332000000.0,,,-11000000.0,,12000000.0,,,,,,,,,large_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD,,,,,,,,,,,,,,,,,,,,,,,,-14000000.0,,,,,,,,,,,large_cap
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD,,,,,,,,,,,,,,,,,,,,,,,0.0,-10000000.0,,,,,,,,,,,large_cap
2024-10-31,,,,,,,,,,,,,965000000.0,956000000.0,1.58,1.6,,,,,,,,,,,,,,,,,,CRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_cap
2024-12-31,-104160000.0,0.21,3976000000.0,-126000000.0,2647000000.0,8676000000.0,3480000000.0,833000000.0,265840000.0,-126000000.0,13791000000.0,412000000.0,4319000000.0,4319000000.0,-0.03,-0.03,-126000000.0,-126000000.0,-126000000.0,-153000000.0,-153000000.0,752000000.0,599000000.0,-496000000.0,,469000000.0,5115000000.0,3876000000.0,1239000000.0,5584000000.0,8676000000.0,14260000000.0,14260000000.0,INTC,-496000000.0,-496000000.0,626000000.0,234000000.0,822000000.0,-135000000.0,97000000.0,-361000000.0,626000000.0,234000000.0,822000000.0,,,,,-6000000.0,,,,,,,,,,,27000000.0,,44000000.0,-38000000.0,,,,,large_cap
2024-12-31,7385144.429161,0.125172,4175000000.0,3180000000.0,436000000.0,5161000000.0,4234000000.0,3798000000.0,3128385144.429161,3180000000.0,8114000000.0,3555000000.0,1122000000.0,1110000000.0,2.83,2.86,3180000000.0,3180000000.0,3180000000.0,3180000000.0,3180000000.0,455000000.0,3635000000.0,74000000.0,15000000.0,3555000000.0,2953000000.0,2230000000.0,723000000.0,6508000000.0,5161000000.0,11669000000.0,11669000000.0,QCOM,59000000.0,59000000.0,6000000.0,163000000.0,169000000.0,-24000000.0,24000000.0,83000000.0,6000000.0,163000000.0,169000000.0,,,,,,,,,,,,0.0,,,,,,,,,,,,large_cap
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QCOM,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,large_cap
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QCOM,,,,,,,,,,,,,,,,,,,,,,,,75000000.0,,,,,75000000.0,,,,,,large_cap
2024-12-31,-2309484.0,0.204,250390000.0,166445000.0,22666000.0,140510000.0,239069000.0,216403000.0,175456516.0,166445000.0,550086000.0,205082000.0,59058000.0,58305000.0,2.82,2.85,166445000.0,166445000.0,166445000.0,166445000.0,166445000.0,42599000.0,209044000.0,-7359000.0,3962000.0,216403000.0,409576000.0,130518000.0,279058000.0,625979000.0,140510000.0,766489000.0,766489000.0,FFIV,-11321000.0,-11321000.0,,,,-11321000.0,,,,,,206035000.0,73023000.0,73023000.0,,11321000.0,,,,,,,,,,,,,,,,,,,mid_cap
